# x	y	u	v	flags	mask
2.3829e-01	2.4140e+00	-2.8681e-02	-2.3955e-01	0.0000e+00	0.0000e+00
4.5586e-01	2.4140e+00	4.3230e-01	-2.6000e-02	0.0000e+00	0.0000e+00
6.7344e-01	2.4140e+00	2.6935e-01	1.4902e-01	0.0000e+00	0.0000e+00
8.9101e-01	2.4140e+00	5.9660e-02	2.5487e-01	0.0000e+00	0.0000e+00
1.1086e+00	2.4140e+00	6.0978e-03	9.7061e-02	0.0000e+00	0.0000e+00
1.3262e+00	2.4140e+00	-1.0816e-01	3.6613e-02	0.0000e+00	0.0000e+00
1.5437e+00	2.4140e+00	-8.4435e-02	-2.3529e-01	0.0000e+00	0.0000e+00
1.7613e+00	2.4140e+00	-7.8100e-02	-3.3658e-01	0.0000e+00	0.0000e+00
1.9789e+00	2.4140e+00	1.3616e-01	-7.2189e-02	0.0000e+00	0.0000e+00
2.1964e+00	2.4140e+00	1.8455e-01	-2.0893e-02	0.0000e+00	0.0000e+00
2.4140e+00	2.4140e+00	2.0212e-01	8.1132e-02	0.0000e+00	0.0000e+00
2.3829e-01	2.1964e+00	-5.8982e-02	-5.5970e-02	0.0000e+00	0.0000e+00
4.5586e-01	2.1964e+00	2.0821e-01	2.6501e-03	0.0000e+00	0.0000e+00
6.7344e-01	2.1964e+00	1.3938e-01	-9.1671e-02	0.0000e+00	0.0000e+00
8.9101e-01	2.1964e+00	-9.6064e-02	-3.9452e-02	0.0000e+00	0.0000e+00
1.1086e+00	2.1964e+00	-4.6660e-01	-5.2905e-02	0.0000e+00	0.0000e+00
1.3262e+00	2.1964e+00	-3.7724e-01	2.3213e-02	0.0000e+00	0.0000e+00
1.5437e+00	2.1964e+00	-1.0213e-02	1.8970e-02	0.0000e+00	0.0000e+00
1.7613e+00	2.1964e+00	3.6320e-01	-5.7771e-03	0.0000e+00	0.0000e+00
1.9789e+00	2.1964e+00	1.8313e-01	1.6871e-01	0.0000e+00	0.0000e+00
2.1964e+00	2.1964e+00	1.2901e-01	2.0328e-01	0.0000e+00	0.0000e+00
2.4140e+00	2.1964e+00	4.5982e-01	7.8419e-02	0.0000e+00	0.0000e+00
2.3829e-01	1.9789e+00	6.5275e-02	2.2809e-01	0.0000e+00	0.0000e+00
4.5586e-01	1.9789e+00	1.3206e-01	5.4119e-02	0.0000e+00	0.0000e+00
6.7344e-01	1.9789e+00	1.9087e-01	-1.1581e-01	0.0000e+00	0.0000e+00
8.9101e-01	1.9789e+00	6.0479e-02	-3.0135e-01	0.0000e+00	0.0000e+00
1.1086e+00	1.9789e+00	-2.3538e-01	-1.9552e-01	0.0000e+00	0.0000e+00
1.3262e+00	1.9789e+00	-4.3641e-01	1.4975e-01	0.0000e+00	0.0000e+00
1.5437e+00	1.9789e+00	-4.5335e-01	1.8074e-01	0.0000e+00	0.0000e+00
1.7613e+00	1.9789e+00	-3.3252e-01	7.6341e-03	0.0000e+00	0.0000e+00
1.9789e+00	1.9789e+00	2.9059e-01	1.7191e-01	0.0000e+00	0.0000e+00
2.1964e+00	1.9789e+00	1.0888e-01	1.1783e-01	0.0000e+00	0.0000e+00
2.4140e+00	1.9789e+00	1.1818e-01	8.4307e-02	0.0000e+00	0.0000e+00
2.3829e-01	1.7613e+00	2.2942e-02	4.1550e-01	0.0000e+00	0.0000e+00
4.5586e-01	1.7613e+00	3.2346e-02	6.1769e-02	0.0000e+00	0.0000e+00
6.7344e-01	1.7613e+00	-2.8260e-02	-1.6842e-01	0.0000e+00	0.0000e+00
8.9101e-01	1.7613e+00	-9.7625e-02	-3.6310e-01	0.0000e+00	0.0000e+00
1.1086e+00	1.7613e+00	1.4828e-02	3.3595e-02	1.0000e+00	0.0000e+00
1.3262e+00	1.7613e+00	8.4642e-02	7.3167e-02	0.0000e+00	0.0000e+00
1.5437e+00	1.7613e+00	2.3600e-02	2.8449e-01	0.0000e+00	0.0000e+00
1.7613e+00	1.7613e+00	2.5139e-01	5.2947e-01	0.0000e+00	0.0000e+00
1.9789e+00	1.7613e+00	2.9100e-01	3.8778e-02	0.0000e+00	0.0000e+00
2.1964e+00	1.7613e+00	1.9694e-01	-5.8465e-02	0.0000e+00	0.0000e+00
2.4140e+00	1.7613e+00	7.6723e-02	-3.0003e-02	0.0000e+00	0.0000e+00
2.3829e-01	1.5437e+00	2.3541e-02	-1.1613e-02	1.0000e+00	0.0000e+00
4.5586e-01	1.5437e+00	-4.2926e-01	-1.9485e-03	0.0000e+00	0.0000e+00
6.7344e-01	1.5437e+00	-3.6198e-01	-2.0620e-01	0.0000e+00	0.0000e+00
8.9101e-01	1.5437e+00	1.4788e-02	3.5301e-02	1.0000e+00	0.0000e+00
1.1086e+00	1.5437e+00	6.2530e-02	1.4476e-01	0.0000e+00	0.0000e+00
1.3262e+00	1.5437e+00	3.9222e-01	3.7067e-02	0.0000e+00	0.0000e+00
1.5437e+00	1.5437e+00	3.5917e-01	-2.9664e-02	0.0000e+00	0.0000e+00
1.7613e+00	1.5437e+00	-8.6349e-02	4.1750e-01	0.0000e+00	0.0000e+00
1.9789e+00	1.5437e+00	3.2333e-02	4.7547e-02	0.0000e+00	0.0000e+00
2.1964e+00	1.5437e+00	3.0384e-01	1.3260e-01	0.0000e+00	0.0000e+00
2.4140e+00	1.5437e+00	3.4982e-01	4.7674e-02	0.0000e+00	0.0000e+00
2.3829e-01	1.3262e+00	2.9024e-02	-3.3035e-02	0.0000e+00	0.0000e+00
4.5586e-01	1.3262e+00	-2.5308e-01	-3.7226e-02	0.0000e+00	0.0000e+00
6.7344e-01	1.3262e+00	-1.7101e-01	-1.9019e-01	0.0000e+00	0.0000e+00
8.9101e-01	1.3262e+00	5.4692e-02	-2.3367e-01	0.0000e+00	0.0000e+00
1.1086e+00	1.3262e+00	1.0419e-02	4.4246e-01	0.0000e+00	0.0000e+00
1.3262e+00	1.3262e+00	9.7782e-02	1.6114e-01	0.0000e+00	0.0000e+00
1.5437e+00	1.3262e+00	1.9446e-01	1.0876e-01	0.0000e+00	0.0000e+00
1.7613e+00	1.3262e+00	2.7359e-01	8.6074e-02	0.0000e+00	0.0000e+00
1.9789e+00	1.3262e+00	1.6651e-01	1.6228e-01	0.0000e+00	0.0000e+00
2.1964e+00	1.3262e+00	5.4405e-02	-3.0577e-02	0.0000e+00	0.0000e+00
2.4140e+00	1.3262e+00	-3.2773e-01	-2.1519e-01	0.0000e+00	0.0000e+00
2.3829e-01	1.1086e+00	-1.8106e-01	-1.0001e-01	0.0000e+00	0.0000e+00
4.5586e-01	1.1086e+00	-1.1988e-01	1.3044e-01	0.0000e+00	0.0000e+00
6.7344e-01	1.1086e+00	2.2146e-01	1.1001e-01	0.0000e+00	0.0000e+00
8.9101e-01	1.1086e+00	5.0788e-01	-6.2133e-02	0.0000e+00	0.0000e+00
1.1086e+00	1.1086e+00	3.9325e-01	1.0050e-01	0.0000e+00	0.0000e+00
1.3262e+00	1.1086e+00	5.1231e-02	1.9258e-01	0.0000e+00	0.0000e+00
1.5437e+00	1.1086e+00	3.5269e-02	1.4915e-01	0.0000e+00	0.0000e+00
1.7613e+00	1.1086e+00	1.5492e-02	2.6522e-01	0.0000e+00	0.0000e+00
1.9789e+00	1.1086e+00	-1.7160e-01	2.9819e-01	0.0000e+00	0.0000e+00
2.1964e+00	1.1086e+00	-2.1697e-01	-3.6486e-01	0.0000e+00	0.0000e+00
